I1,I2,I3,C1,C2,C3,M1,M2,M3,D,ID,respiration,aboveground,ace,phos,cello,gluco,belowground,WSA,PH,rack,Lv,remark
0,0,0,0,0,0,0,0,0,0,CT,1308.832283,28.8,0.479600474,3.017106408,0.318214003,1.4429374,5.1,35.33123028,4.53,G,0,CT
0,0,0,0,0,0,0,0,0,0,CT,991.880728,27.1,0.428540349,2.612272547,0.701164953,1.590930979,6.2,32.9153605,4.58,G,0,CT
0,0,0,0,0,0,0,0,0,0,CT,1106.465032,145.9,0.612721519,2.149996044,0.384774525,1.611280096,49.6,51.18343195,4.46,G,0,CT
0,0,0,0,0,0,0,0,0,0,CT,1044.024456,97.6,0.506042326,2.450886076,0.420334256,1.692676565,30,48.89589905,4.5,G,0,CT
0,0,0,0,0,0,0,0,0,0,CT,899.3600288,22.2,0.484159415,1.802604826,0.451335047,1.048904494,4.6,45.48387097,4.49,H,0,CT
0,0,0,0,0,0,0,0,0,0,CT,1036.895101,25.4,0.524278086,1.277414953,0.628221915,1.185798555,4.2,29.35483871,4.62,N,0,CT
0,0,0,0,0,0,0,0,0,0,CT,961.410151,122.4,0.225211629,3.455676423,0.525189873,1.024855538,28.2,35.35031847,4.56,G,0,CT
0,0,0,0,0,0,0,0,0,0,CT,1339.617402,2.5,0.667428797,2.875779271,0.362891614,1.768523274,0.2,35.01683502,4.43,G,0,CT
0,0,0,0,0,0,0,0,0,0,CT,1059.907673,1.7,0.475041536,2.403473102,0.372921282,0.643772071,1.4,39.87341772,4.53,G,0,CT
0,0,0,0,0,0,0,0,0,0,CT,1114.619385,134.6,0.61636867,3.086402293,0.472306171,1.106252006,38.2,64.14473684,4.51,H,0,CT
0,0,0,0,0,0,0,0,0,1,CT,1232.742984,20.9,0.429452136,1.97675633,0.635516218,1.041504815,5.6,31.73652695,4.49,G,0,CT
0,0,0,0,0,0,0,0,0,1,CT,925.7048477,100.4,0.353773733,1.715984967,0.683840981,0.778816212,46.7,25.53846154,4.51,Z,0,CT
0,0,0,0,0,0,0,0,0,1,CT,915.9471499,182.3,0.435834651,1.326651503,0.754048655,2.182905297,76.9,31.70731707,4.53,Z,0,CT
0,0,0,0,0,0,0,0,0,1,CT,940.1734686,77.6,0.390245254,1.563716377,0.714841772,1.207997592,27.6,30.3030303,4.41,W,0,CT
0,0,0,0,0,0,0,0,0,1,CT,886.6577052,151.4,0.714841771,2.677921282,0.916346915,2.084859551,48.5,26.58610272,4.47,W,0,CT
0,0,0,0,0,0,0,0,0,1,CT,1160.895142,181.1,0.506954113,2.384325555,0.440393592,0.732568218,86.4,29.33753943,4.45,W,0,CT
0,0,0,0,0,0,0,0,0,1,CT,1885.241773,83.9,0.568043909,2.725334255,0.277183544,0.7214687,23.6,35.91331269,4.51,W,0,CT
0,0,0,0,0,0,0,0,0,1,CT,903.1700057,4,0.497836234,2.769100078,0.732165744,0.93975923,1.7,63.57827476,4.51,W,0,CT
